Q1 - Exponential Random (1000 samples):
        Average(actual): 0.0134 Average(expected): 0.0133
        Variance(actual): 0.0002 Variance(expected):0.0002
Q3 - Queue Implementation:
        Rho: 0.25, Number of Packets: 124745, P_Idle (s/s): 0.7500
        Rho: 0.35, Number of Packets: 174384, P_Idle (s/s): 0.6502
        Rho: 0.45, Number of Packets: 224349, P_Idle (s/s): 0.5515
        Rho: 0.55, Number of Packets: 275629, P_Idle (s/s): 0.4487
        Rho: 0.65, Number of Packets: 325606, P_Idle (s/s): 0.3508
        Rho: 0.75, Number of Packets: 374928, P_Idle (s/s): 0.2518
        Rho: 0.85, Number of Packets: 425392, P_Idle (s/s): 0.1502
        Rho: 0.95, Number of Packets: 474378, P_Idle (s/s): 0.0517
Q4 - Rho = 1.2:
        Rho: 1.20, Number of Packets: 599935, Proportion Time Idle (s/s): 0.0000
Q6 - M/M/1/K:
        M/M/1/10 - Rho: 0.50, Average Packets in Queue (E[N]): 0.9984408263139805, Proportion Time Idle (s/s): 0.5007: Proportion Packets Lost (packet/packet): 0.0004
        M/M/1/10 - Rho: 0.60, Average Packets in Queue (E[N]): 1.469480554539074, Proportion Time Idle (s/s): 0.4000: Proportion Packets Lost (packet/packet): 0.0024
        M/M/1/10 - Rho: 0.70, Average Packets in Queue (E[N]): 2.1411204989441543, Proportion Time Idle (s/s): 0.3019: Proportion Packets Lost (packet/packet): 0.0092
        M/M/1/10 - Rho: 0.80, Average Packets in Queue (E[N]): 2.961581092900597, Proportion Time Idle (s/s): 0.2193: Proportion Packets Lost (packet/packet): 0.0240
        M/M/1/10 - Rho: 0.90, Average Packets in Queue (E[N]): 3.9401122875157943, Proportion Time Idle (s/s): 0.1474: Proportion Packets Lost (packet/packet): 0.0504
        M/M/1/10 - Rho: 1.00, Average Packets in Queue (E[N]): 5.024593270832174, Proportion Time Idle (s/s): 0.0901: Proportion Packets Lost (packet/packet): 0.0916
        M/M/1/10 - Rho: 1.10, Average Packets in Queue (E[N]): 5.94080894108072, Proportion Time Idle (s/s): 0.0537: Proportion Packets Lost (packet/packet): 0.1393
        M/M/1/10 - Rho: 1.20, Average Packets in Queue (E[N]): 6.694373889149574, Proportion Time Idle (s/s): 0.0317: Proportion Packets Lost (packet/packet): 0.1924
        M/M/1/10 - Rho: 1.30, Average Packets in Queue (E[N]): 7.3089298939312215, Proportion Time Idle (s/s): 0.0180: Proportion Packets Lost (packet/packet): 0.2447
